i,U_i=X_i/M,X_i
1,0.555556,5
2,0.666667,6
3,0.111111,1
4,0.888889,8
5,0,0
6,0.444444,4
7,0.222222,2
8,0.333333,3
9,0.777778,7
10,0.555556,5
11,0.666667,6
12,0.111111,1
13,0.888889,8
14,0,0
15,0.444444,4
16,0.222222,2
17,0.333333,3
18,0.777778,7
19,0.555556,5
20,0.666667,6
21,0.111111,1
22,0.888889,8
23,0,0
24,0.444444,4
25,0.222222,2
26,0.333333,3
27,0.777778,7
28,0.555556,5
29,0.666667,6
30,0.111111,1
31,0.888889,8
32,0,0
33,0.444444,4
34,0.222222,2
35,0.333333,3
36,0.777778,7
37,0.555556,5
38,0.666667,6
39,0.111111,1
40,0.888889,8
41,0,0
42,0.444444,4
43,0.222222,2
44,0.333333,3
45,0.777778,7
46,0.555556,5
47,0.666667,6
48,0.111111,1
49,0.888889,8
50,0,0
51,0.444444,4
52,0.222222,2
53,0.333333,3
54,0.777778,7
55,0.555556,5
56,0.666667,6
57,0.111111,1
58,0.888889,8
59,0,0
60,0.444444,4
61,0.222222,2
62,0.333333,3
63,0.777778,7
64,0.555556,5
65,0.666667,6
66,0.111111,1
67,0.888889,8
68,0,0
69,0.444444,4
70,0.222222,2
71,0.333333,3
72,0.777778,7
73,0.555556,5
74,0.666667,6
75,0.111111,1
76,0.888889,8
77,0,0
78,0.444444,4
79,0.222222,2
80,0.333333,3
81,0.777778,7
82,0.555556,5
83,0.666667,6
84,0.111111,1
85,0.888889,8
86,0,0
87,0.444444,4
88,0.222222,2
89,0.333333,3
90,0.777778,7
91,0.555556,5
92,0.666667,6
93,0.111111,1
94,0.888889,8
95,0,0
96,0.444444,4
97,0.222222,2
98,0.333333,3
99,0.777778,7
100,0.555556,5
101,0.666667,6
102,0.111111,1
103,0.888889,8
104,0,0
105,0.444444,4
106,0.222222,2
107,0.333333,3
108,0.777778,7
109,0.555556,5
110,0.666667,6
111,0.111111,1
112,0.888889,8
113,0,0
114,0.444444,4
115,0.222222,2
116,0.333333,3
117,0.777778,7
118,0.555556,5
119,0.666667,6
120,0.111111,1
121,0.888889,8
122,0,0
123,0.444444,4
124,0.222222,2
125,0.333333,3
126,0.777778,7
127,0.555556,5
128,0.666667,6
129,0.111111,1
130,0.888889,8
131,0,0
132,0.444444,4
133,0.222222,2
134,0.333333,3
135,0.777778,7
136,0.555556,5
137,0.666667,6
138,0.111111,1
139,0.888889,8
140,0,0
141,0.444444,4
142,0.222222,2
143,0.333333,3
144,0.777778,7
145,0.555556,5
146,0.666667,6
147,0.111111,1
148,0.888889,8
149,0,0
150,0.444444,4
151,0.222222,2
152,0.333333,3
153,0.777778,7
154,0.555556,5
155,0.666667,6
156,0.111111,1
157,0.888889,8
158,0,0
159,0.444444,4
160,0.222222,2
161,0.333333,3
162,0.777778,7
163,0.555556,5
164,0.666667,6
165,0.111111,1
166,0.888889,8
167,0,0
168,0.444444,4
169,0.222222,2
170,0.333333,3
171,0.777778,7
172,0.555556,5
173,0.666667,6
174,0.111111,1
175,0.888889,8
176,0,0
177,0.444444,4
178,0.222222,2
179,0.333333,3
180,0.777778,7
181,0.555556,5
182,0.666667,6
183,0.111111,1
184,0.888889,8
185,0,0
186,0.444444,4
187,0.222222,2
188,0.333333,3
189,0.777778,7
190,0.555556,5
191,0.666667,6
192,0.111111,1
193,0.888889,8
194,0,0
195,0.444444,4
196,0.222222,2
197,0.333333,3
198,0.777778,7
199,0.555556,5
200,0.666667,6
201,0.111111,1
202,0.888889,8
203,0,0
204,0.444444,4
205,0.222222,2
206,0.333333,3
207,0.777778,7
208,0.555556,5
209,0.666667,6
210,0.111111,1
211,0.888889,8
212,0,0
213,0.444444,4
214,0.222222,2
215,0.333333,3
216,0.777778,7
217,0.555556,5
218,0.666667,6
219,0.111111,1
220,0.888889,8
221,0,0
222,0.444444,4
223,0.222222,2
224,0.333333,3
225,0.777778,7
226,0.555556,5
227,0.666667,6
228,0.111111,1
229,0.888889,8
230,0,0
231,0.444444,4
232,0.222222,2
233,0.333333,3
234,0.777778,7
235,0.555556,5
236,0.666667,6
237,0.111111,1
238,0.888889,8
239,0,0
240,0.444444,4
241,0.222222,2
242,0.333333,3
243,0.777778,7
244,0.555556,5
245,0.666667,6
246,0.111111,1
247,0.888889,8
248,0,0
249,0.444444,4
250,0.222222,2
251,0.333333,3
252,0.777778,7
253,0.555556,5
254,0.666667,6
255,0.111111,1
256,0.888889,8
257,0,0
258,0.444444,4
259,0.222222,2
260,0.333333,3
261,0.777778,7
262,0.555556,5
263,0.666667,6
264,0.111111,1
265,0.888889,8
266,0,0
267,0.444444,4
268,0.222222,2
269,0.333333,3
270,0.777778,7
271,0.555556,5
272,0.666667,6
273,0.111111,1
274,0.888889,8
275,0,0
276,0.444444,4
277,0.222222,2
278,0.333333,3
279,0.777778,7
280,0.555556,5
281,0.666667,6
282,0.111111,1
283,0.888889,8
284,0,0
285,0.444444,4
286,0.222222,2
287,0.333333,3
288,0.777778,7
289,0.555556,5
290,0.666667,6
291,0.111111,1
292,0.888889,8
293,0,0
294,0.444444,4
295,0.222222,2
296,0.333333,3
297,0.777778,7
298,0.555556,5
299,0.666667,6
300,0.111111,1
301,0.888889,8
302,0,0
303,0.444444,4
304,0.222222,2
305,0.333333,3
306,0.777778,7
307,0.555556,5
308,0.666667,6
309,0.111111,1
310,0.888889,8
311,0,0
312,0.444444,4
313,0.222222,2
314,0.333333,3
315,0.777778,7
316,0.555556,5
317,0.666667,6
318,0.111111,1
319,0.888889,8
320,0,0
321,0.444444,4
322,0.222222,2
323,0.333333,3
324,0.777778,7
325,0.555556,5
326,0.666667,6
327,0.111111,1
328,0.888889,8
329,0,0
330,0.444444,4
331,0.222222,2
332,0.333333,3
333,0.777778,7
334,0.555556,5
335,0.666667,6
336,0.111111,1
337,0.888889,8
338,0,0
339,0.444444,4
340,0.222222,2
341,0.333333,3
342,0.777778,7
343,0.555556,5
344,0.666667,6
345,0.111111,1
346,0.888889,8
347,0,0
348,0.444444,4
349,0.222222,2
350,0.333333,3
351,0.777778,7
352,0.555556,5
353,0.666667,6
354,0.111111,1
355,0.888889,8
356,0,0
357,0.444444,4
358,0.222222,2
359,0.333333,3
360,0.777778,7
361,0.555556,5
362,0.666667,6
363,0.111111,1
364,0.888889,8
365,0,0
366,0.444444,4
367,0.222222,2
368,0.333333,3
369,0.777778,7
370,0.555556,5
371,0.666667,6
372,0.111111,1
373,0.888889,8
374,0,0
375,0.444444,4
376,0.222222,2
377,0.333333,3
378,0.777778,7
379,0.555556,5
380,0.666667,6
381,0.111111,1
382,0.888889,8
383,0,0
384,0.444444,4
385,0.222222,2
386,0.333333,3
387,0.777778,7
388,0.555556,5
389,0.666667,6
390,0.111111,1
391,0.888889,8
392,0,0
393,0.444444,4
394,0.222222,2
395,0.333333,3
396,0.777778,7
397,0.555556,5
398,0.666667,6
399,0.111111,1
400,0.888889,8
401,0,0
402,0.444444,4
403,0.222222,2
404,0.333333,3
405,0.777778,7
406,0.555556,5
407,0.666667,6
408,0.111111,1
409,0.888889,8
410,0,0
411,0.444444,4
412,0.222222,2
413,0.333333,3
414,0.777778,7
415,0.555556,5
416,0.666667,6
417,0.111111,1
418,0.888889,8
419,0,0
420,0.444444,4
421,0.222222,2
422,0.333333,3
423,0.777778,7
424,0.555556,5
425,0.666667,6
426,0.111111,1
427,0.888889,8
428,0,0
429,0.444444,4
430,0.222222,2
431,0.333333,3
432,0.777778,7
433,0.555556,5
434,0.666667,6
435,0.111111,1
436,0.888889,8
437,0,0
438,0.444444,4
439,0.222222,2
440,0.333333,3
441,0.777778,7
442,0.555556,5
443,0.666667,6
444,0.111111,1
445,0.888889,8
446,0,0
447,0.444444,4
448,0.222222,2
449,0.333333,3
450,0.777778,7
451,0.555556,5
452,0.666667,6
453,0.111111,1
454,0.888889,8
455,0,0
456,0.444444,4
457,0.222222,2
458,0.333333,3
459,0.777778,7
460,0.555556,5
461,0.666667,6
462,0.111111,1
463,0.888889,8
464,0,0
465,0.444444,4
466,0.222222,2
467,0.333333,3
468,0.777778,7
469,0.555556,5
470,0.666667,6
471,0.111111,1
472,0.888889,8
473,0,0
474,0.444444,4
475,0.222222,2
476,0.333333,3
477,0.777778,7
478,0.555556,5
479,0.666667,6
480,0.111111,1
481,0.888889,8
482,0,0
483,0.444444,4
484,0.222222,2
485,0.333333,3
486,0.777778,7
487,0.555556,5
488,0.666667,6
489,0.111111,1
490,0.888889,8
491,0,0
492,0.444444,4
493,0.222222,2
494,0.333333,3
495,0.777778,7
496,0.555556,5
497,0.666667,6
498,0.111111,1
499,0.888889,8
500,0,0
501,0.444444,4
502,0.222222,2
503,0.333333,3
504,0.777778,7
505,0.555556,5
506,0.666667,6
507,0.111111,1
508,0.888889,8
509,0,0
510,0.444444,4
511,0.222222,2
512,0.333333,3
513,0.777778,7
514,0.555556,5
515,0.666667,6
516,0.111111,1
517,0.888889,8
518,0,0
519,0.444444,4
520,0.222222,2
521,0.333333,3
522,0.777778,7
523,0.555556,5
524,0.666667,6
525,0.111111,1
526,0.888889,8
527,0,0
528,0.444444,4
529,0.222222,2
530,0.333333,3
531,0.777778,7
532,0.555556,5
533,0.666667,6
534,0.111111,1
535,0.888889,8
536,0,0
537,0.444444,4
538,0.222222,2
539,0.333333,3
540,0.777778,7
541,0.555556,5
542,0.666667,6
543,0.111111,1
544,0.888889,8
545,0,0
546,0.444444,4
547,0.222222,2
548,0.333333,3
549,0.777778,7
550,0.555556,5
551,0.666667,6
552,0.111111,1
553,0.888889,8
554,0,0
555,0.444444,4
556,0.222222,2
557,0.333333,3
558,0.777778,7
559,0.555556,5
560,0.666667,6
561,0.111111,1
562,0.888889,8
563,0,0
564,0.444444,4
565,0.222222,2
566,0.333333,3
567,0.777778,7
568,0.555556,5
569,0.666667,6
570,0.111111,1
571,0.888889,8
572,0,0
573,0.444444,4
574,0.222222,2
575,0.333333,3
576,0.777778,7
577,0.555556,5
578,0.666667,6
579,0.111111,1
580,0.888889,8
581,0,0
582,0.444444,4
583,0.222222,2
584,0.333333,3
585,0.777778,7
586,0.555556,5
587,0.666667,6
588,0.111111,1
589,0.888889,8
590,0,0
591,0.444444,4
592,0.222222,2
593,0.333333,3
594,0.777778,7
595,0.555556,5
596,0.666667,6
597,0.111111,1
598,0.888889,8
599,0,0
600,0.444444,4
601,0.222222,2
602,0.333333,3
603,0.777778,7
604,0.555556,5
605,0.666667,6
606,0.111111,1
607,0.888889,8
608,0,0
609,0.444444,4
610,0.222222,2
611,0.333333,3
612,0.777778,7
613,0.555556,5
614,0.666667,6
615,0.111111,1
616,0.888889,8
617,0,0
618,0.444444,4
619,0.222222,2
620,0.333333,3
621,0.777778,7
622,0.555556,5
623,0.666667,6
624,0.111111,1
625,0.888889,8
626,0,0
627,0.444444,4
628,0.222222,2
629,0.333333,3
630,0.777778,7
631,0.555556,5
632,0.666667,6
633,0.111111,1
634,0.888889,8
635,0,0
636,0.444444,4
637,0.222222,2
638,0.333333,3
639,0.777778,7
640,0.555556,5
641,0.666667,6
642,0.111111,1
643,0.888889,8
644,0,0
645,0.444444,4
646,0.222222,2
647,0.333333,3
648,0.777778,7
649,0.555556,5
650,0.666667,6
651,0.111111,1
652,0.888889,8
653,0,0
654,0.444444,4
655,0.222222,2
656,0.333333,3
657,0.777778,7
658,0.555556,5
659,0.666667,6
660,0.111111,1
661,0.888889,8
662,0,0
663,0.444444,4
664,0.222222,2
665,0.333333,3
666,0.777778,7
667,0.555556,5
668,0.666667,6
669,0.111111,1
670,0.888889,8
671,0,0
672,0.444444,4
673,0.222222,2
674,0.333333,3
675,0.777778,7
676,0.555556,5
677,0.666667,6
678,0.111111,1
679,0.888889,8
680,0,0
681,0.444444,4
682,0.222222,2
683,0.333333,3
684,0.777778,7
685,0.555556,5
686,0.666667,6
687,0.111111,1
688,0.888889,8
689,0,0
690,0.444444,4
691,0.222222,2
692,0.333333,3
693,0.777778,7
694,0.555556,5
695,0.666667,6
696,0.111111,1
697,0.888889,8
698,0,0
699,0.444444,4
700,0.222222,2
701,0.333333,3
702,0.777778,7
703,0.555556,5
704,0.666667,6
705,0.111111,1
706,0.888889,8
707,0,0
708,0.444444,4
709,0.222222,2
710,0.333333,3
711,0.777778,7
712,0.555556,5
713,0.666667,6
714,0.111111,1
715,0.888889,8
716,0,0
717,0.444444,4
718,0.222222,2
719,0.333333,3
720,0.777778,7
721,0.555556,5
722,0.666667,6
723,0.111111,1
724,0.888889,8
725,0,0
726,0.444444,4
727,0.222222,2
728,0.333333,3
729,0.777778,7
730,0.555556,5
731,0.666667,6
732,0.111111,1
733,0.888889,8
734,0,0
735,0.444444,4
736,0.222222,2
737,0.333333,3
738,0.777778,7
739,0.555556,5
740,0.666667,6
741,0.111111,1
742,0.888889,8
743,0,0
744,0.444444,4
745,0.222222,2
746,0.333333,3
747,0.777778,7
748,0.555556,5
749,0.666667,6
750,0.111111,1
751,0.888889,8
752,0,0
753,0.444444,4
754,0.222222,2
755,0.333333,3
756,0.777778,7
757,0.555556,5
758,0.666667,6
759,0.111111,1
760,0.888889,8
761,0,0
762,0.444444,4
763,0.222222,2
764,0.333333,3
765,0.777778,7
766,0.555556,5
767,0.666667,6
768,0.111111,1
769,0.888889,8
770,0,0
771,0.444444,4
772,0.222222,2
773,0.333333,3
774,0.777778,7
775,0.555556,5
776,0.666667,6
777,0.111111,1
778,0.888889,8
779,0,0
780,0.444444,4
781,0.222222,2
782,0.333333,3
783,0.777778,7
784,0.555556,5
785,0.666667,6
786,0.111111,1
787,0.888889,8
788,0,0
789,0.444444,4
790,0.222222,2
791,0.333333,3
792,0.777778,7
793,0.555556,5
794,0.666667,6
795,0.111111,1
796,0.888889,8
797,0,0
798,0.444444,4
799,0.222222,2
800,0.333333,3
801,0.777778,7
